Service__c,Id,Location_ID__c,Opens_At__c,Closes_At__c,Weekday__c
a1T2E000009DWpzUAG,a1Q2E000003FAtfUAG,a0K2E00000wAoEfUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWq0UAG,a1Q2E000003FAtgUAG,a0K2E00000wAoEgUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWq1UAG,a1Q2E000003FAthUAG,a0K2E00000wAoEhUAK,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWq2UAG,a1Q2E000003FAtiUAG,a0K2E00000wAoEiUAK,08:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWq3UAG,a1Q2E000003FAtjUAG,a0K2E00000wAoEjUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWq4UAG,a1Q2E000003FAtkUAG,a0K2E00000wAoEkUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWq5UAG,a1Q2E000003FAtlUAG,a0K2E00000wAoElUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWq6UAG,a1Q2E000003FAtmUAG,a0K2E00000wAoEmUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWq7UAG,a1Q2E000003FAtnUAG,a0K2E00000wAoEnUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWq8UAG,a1Q2E000003FAtoUAG,a0K2E00000wAoEoUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWq9UAG,a1Q2E000003FAtpUAG,a0K2E00000wAoEpUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWqAUAW,a1Q2E000003FAtqUAG,a0K2E00000wAoEqUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWqBUAW,a1Q2E000003FAtrUAG,a0K2E00000wAoErUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWqCUAW,a1Q2E000003FAtsUAG,a0K2E00000wAoEsUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWqDUAW,a1Q2E000003FAttUAG,a0K2E00000wAoEtUAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWqEUAW,a1Q2E000003FAtuUAG,a0K2E00000wAoEuUAK,08:30:00.000Z,16:30:00.000Z,1
a1T2E000009DWqFUAW,a1Q2E000003FAtvUAG,a0K2E00000wAoEvUAK,08:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWqGUAW,a1Q2E000003FAtwUAG,a0K2E00000wAoEwUAK,08:30:00.000Z,18:30:00.000Z,1
a1T2E000009DWqHUAW,a1Q2E000003FAtxUAG,a0K2E00000wAoExUAK,08:30:00.000Z,19:30:00.000Z,1
a1T2E000009DWqIUAW,a1Q2E000003FAtyUAG,a0K2E00000wAoEyUAK,09:30:00.000Z,18:00:00.000Z,1
a1T2E000009DWqJUAW,a1Q2E000003FAtzUAG,a0K2E00000wAoEzUAK,09:30:00.000Z,18:00:00.000Z,1
a1T2E000009DWqKUAW,a1Q2E000003FAu0UAG,a0K2E00000wAoF0UAK,10:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWqLUAW,a1Q2E000003FAu1UAG,a0K2E00000wAoF1UAK,11:00:00.000Z,19:30:00.000Z,1
a1T2E000009DWpxUAG,a1Q2E000003FAtdUAG,a0K2E00000wAoEdUAK,08:00:00.000Z,19:00:00.000Z,1
a1T2E000009DWqOUAW,a1Q2E000003FAu4UAG,a0K2E00000wAoF4UAK,09:05:00.000Z,13:00:00.000Z,1
a1T2E000009DWqPUAW,a1Q2E000003FAu5UAG,a0K2E00000wAoF5UAK,08:15:00.000Z,16:30:00.000Z,1
a1T2E000009DWNnUAO,a1Q2E000003FAecUAG,a0K2E00000wAnmeUAC,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWNoUAO,a1Q2E000003FAedUAG,a0K2E00000wAnmfUAC,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWNpUAO,a1Q2E000003FAeeUAG,a0K2E00000wAnmgUAC,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWNqUAO,a1Q2E000003FAefUAG,a0K2E00000wAnmhUAC,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWNrUAO,a1Q2E000003FAegUAG,a0K2E00000wAnmiUAC,08:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWNsUAO,a1Q2E000003FAehUAG,a0K2E00000wAnmjUAC,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWNtUAO,a1Q2E000003FAeiUAG,a0K2E00000wAnmkUAC,08:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWNuUAO,a1Q2E000003FAejUAG,a0K2E00000wAnmlUAC,08:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWNvUAO,a1Q2E000003FAekUAG,a0K2E00000wAnmmUAC,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWNwUAO,a1Q2E000003FAelUAG,a0K2E00000wAnmnUAC,08:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWNxUAO,a1Q2E000003FAemUAG,a0K2E00000wAnmoUAC,08:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWNyUAO,a1Q2E000003FAenUAG,a0K2E00000wAnmpUAC,08:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWNzUAO,a1Q2E000003FAeoUAG,a0K2E00000wAnmqUAC,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWO0UAO,a1Q2E000003FAepUAG,a0K2E00000wAnmrUAC,08:00:00.000Z,16:00:00.000Z,1
a1T2E000009DWO1UAO,a1Q2E000003FAeqUAG,a0K2E00000wAnmsUAC,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWO2UAO,a1Q2E000003FAerUAG,a0K2E00000wAnmtUAC,08:00:00.000Z,16:00:00.000Z,1
a1T2E000009DWO3UAO,a1Q2E000003FAesUAG,a0K2E00000wAnmuUAC,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWO4UAO,a1Q2E000003FAetUAG,a0K2E00000wAnmvUAC,08:00:00.000Z,16:00:00.000Z,1
a1T2E000009DWNmUAO,a1Q2E000003FAebUAG,a0K2E00000wAnmdUAC,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWO5UAO,a1Q2E000003FAeuUAG,a0K2E00000wAnmwUAC,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWO6UAO,a1Q2E000003FAevUAG,a0K2E00000wAnmxUAC,08:00:00.000Z,18:00:00.000Z,1
a1T2E000009DWO7UAO,a1Q2E000003FAewUAG,,08:00:00.000Z,08:30:00.000Z,1
a1T2E000009DWO8UAO,a1Q2E000003FAexUAG,a0K2E00000wAnmzUAC,08:00:00.000Z,16:00:00.000Z,1
a1T2E000009DWO9UAO,a1Q2E000003FAeyUAG,,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWOAUA4,a1Q2E000003FAezUAG,a0K2E00000wAnn1UAC,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWOBUA4,a1Q2E000003FAf0UAG,a0K2E00000wAnn2UAC,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWOCUA4,a1Q2E000003FAf1UAG,a0K2E00000wAnn3UAC,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWxaUAG,a1Q2E000003FAwLUAW,a0K2E00000wAoMDUA0,07:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWxcUAG,a1Q2E000003FAwNUAW,a0K2E00000wAoMFUA0,07:00:00.000Z,07:30:00.000Z,1
a1T2E000009DWxeUAG,a1Q2E000003FAwPUAW,a0K2E00000wAoMHUA0,07:30:00.000Z,18:00:00.000Z,1
a1T2E000009DWxfUAG,a1Q2E000003FAwQUAW,a0K2E00000wAoMIUA0,07:30:00.000Z,18:00:00.000Z,1
a1T2E000009DWxgUAG,a1Q2E000003FAwRUAW,a0K2E00000wAoMJUA0,07:30:00.000Z,16:30:00.000Z,1
a1T2E000009DWxhUAG,a1Q2E000003FAwSUAW,a0K2E00000wAoMKUA0,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWxjUAG,a1Q2E000003FAwUUAW,a0K2E00000wAoMMUA0,07:15:00.000Z,17:00:00.000Z,1
a1T2E000009DWxkUAG,a1Q2E000003FAwVUAW,a0K2E00000wAoMNUA0,07:15:00.000Z,17:00:00.000Z,1
a1T2E000009DWxlUAG,a1Q2E000003FAwWUAW,a0K2E00000wAoMOUA0,07:15:00.000Z,17:00:00.000Z,1
a1T2E000009DWxmUAG,a1Q2E000003FAwXUAW,a0K2E00000wAoMPUA0,07:15:00.000Z,16:00:00.000Z,1
a1T2E000009DWxnUAG,a1Q2E000003FAwYUAW,a0K2E00000wAoMQUA0,07:15:00.000Z,16:00:00.000Z,1
a1T2E000009DWxoUAG,a1Q2E000003FAwZUAW,a0K2E00000wAoMRUA0,07:15:00.000Z,17:00:00.000Z,1
a1T2E000009DWxpUAG,a1Q2E000003FAwaUAG,a0K2E00000wAoMSUA0,07:15:00.000Z,17:00:00.000Z,1
a1T2E000009DWxqUAG,a1Q2E000003FAwbUAG,a0K2E00000wAoMTUA0,07:45:00.000Z,17:30:00.000Z,1
a1T2E000009DWxtUAG,a1Q2E000003FAweUAG,a0K2E00000wAoMWUA0,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWxuUAG,a1Q2E000003FAwfUAG,a0K2E00000wAoMXUA0,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWxvUAG,a1Q2E000003FAwgUAG,a0K2E00000wAoMYUA0,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWxwUAG,a1Q2E000003FAwhUAG,a0K2E00000wAoMZUA0,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWxxUAG,a1Q2E000003FAwiUAG,a0K2E00000wAoMaUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWxyUAG,a1Q2E000003FAwjUAG,a0K2E00000wAoMbUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWxzUAG,a1Q2E000003FAwkUAG,a0K2E00000wAoMcUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWy0UAG,a1Q2E000003FAwlUAG,a0K2E00000wAoMdUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWy1UAG,a1Q2E000003FAwmUAG,a0K2E00000wAoMeUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWy2UAG,a1Q2E000003FAwnUAG,a0K2E00000wAoMfUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWy3UAG,a1Q2E000003FAwoUAG,a0K2E00000wAoMgUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWy4UAG,a1Q2E000003FAwpUAG,a0K2E00000wAoMhUAK,07:30:00.000Z,16:00:00.000Z,1
a1T2E000009DWy5UAG,a1Q2E000003FAwqUAG,a0K2E00000wAoMiUAK,08:00:00.000Z,12:30:00.000Z,1
a1T2E000009DWy6UAG,a1Q2E000003FAwrUAG,a0K2E00000wAoMjUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWy7UAG,a1Q2E000003FAwsUAG,a0K2E00000wAoMkUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWy8UAG,a1Q2E000003FAwtUAG,a0K2E00000wAoMlUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWy9UAG,a1Q2E000003FAwuUAG,a0K2E00000wAoMmUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWyAUAW,a1Q2E000003FAwvUAG,a0K2E00000wAoMnUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWyBUAW,a1Q2E000003FAwwUAG,a0K2E00000wAoMoUAK,07:30:00.000Z,17:00:00.000Z,1
a1T2E000009DWzGUAW,a1Q2E000003FAQ7UAO,a0K2E00000wAnV9UAK,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzHUAW,a1Q2E000003FAQ8UAO,a0K2E00000wAnVAUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzIUAW,a1Q2E000003FAQ9UAO,a0K2E00000wAnVBUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzJUAW,a1Q2E000003FAQAUA4,a0K2E00000wAnVCUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzKUAW,a1Q2E000003FAQBUA4,a0K2E00000wAnVDUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzLUAW,a1Q2E000003FAQCUA4,a0K2E00000wAnVEUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzMUAW,a1Q2E000003FAQDUA4,a0K2E00000wAnVFUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzNUAW,a1Q2E000003FAQEUA4,a0K2E00000wAnVGUA0,08:00:00.000Z,16:30:00.000Z,1
